,BindingDB Ligand Name,Target Name,Target Source Organism,smiles,Tanimoto_Similarity
15,CHEMBL4647972,Protein-tyrosine phosphatase 1B,Homo sapiens,OC(=O)[C@H]1O[C@@H](Oc2ccc(cc2)C)[C@@H]([C@H]([C@@H]1O)O)O,0.8666666666666667
16,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one::CHEMBL151::Luteolin (27)::Luteolin (4)::cid_5280445::luteolin::med.21724, Compound 3",Cyclin-Dependent Kinase 6 (CDK6),Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(O)c(c(c1)O)O,1.0
17,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromone;hydrate::CHEMBL50::Quercetin::Quercetin (10)::Quercetin (21)::Quercetin (Qur)::US11021454, Compound Quercetin::US9180183, Quercetin::med.21724, Compound 4",Cyclin-Dependent Kinase 6 (CDK6),Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(O)c(c(c1)O)O,1.0
18,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromone;hydrate::CHEMBL50::Quercetin::Quercetin (10)::Quercetin (21)::Quercetin (Qur)::US11021454, Compound Quercetin::US9180183, Quercetin::med.21724, Compound 4",Casein kinase II subunit alpha,Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(O)c(c(c1)O)O,1.0
19,CHEMBL1762641::sodium Isobutyrate,Carbonic anhydrase 1,Homo sapiens,CC(C(=O)O)C,0.8
20,CHEMBL1762641::sodium Isobutyrate,Carbonic anhydrase 2,Homo sapiens,CC(C(=O)O)C,0.8
21,"US9447092, 3",Cytochrome P450 3A4,Homo sapiens,[HH],0.0
22,5-({[(5-{[(2S)-1-carboxy-4-{[(2-chlorophenyl)methyl]sulfanyl}-3-oxobutan-2-yl]carbamoyl}thiophen-2-yl)methyl](methyl)amino}methyl)-2-hydroxybenzoic acid::Inhibitor 47c::Thiophene Scaffold 47c,Caspase-3,Homo sapiens,[HH],0.0
23,5-{[(4-{[(2S)-1-carboxy-3-oxopropan-2-yl]carbamoyl}phenyl)methyl]sulfamoyl}-2-hydroxybenzoic acid::Inhibitor 3,Caspase-1,Homo sapiens,[HH],0.0
24,CHEMBL2375656,Delta-type opioid receptor,Homo sapiens,COC1CCC[C@H](C)OC(=O)Cc2c(C(=O)C1)c(O)cc(c2)O,0.9459459459459459
25,CHEMBL2375656,Delta-type opioid receptor,Homo sapiens,COC1CCC[C@H](C)OC(=O)Cc2c(C(=O)C1)c(O)cc(c2)O,0.9459459459459459
26,CHEMBL2375656,Delta-type opioid receptor,Homo sapiens,COC1CCC[C@H](C)OC(=O)Cc2c(C(=O)C1)c(O)cc(c2)O,0.9459459459459459
27,"2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl beta-D-glucopyranoside::7-(beta-D-glucopyranosyloxy)-5-hydroxy-2-(3,4-dihydroxyphenyl)-4H-chromen-4-one::7-Glucoluteolin::7-Glucosylluteolin::CHEMBL233929::Cinaroside::Cynaroside::Luteolin 7-O-&#946;-D-glucoside (13)::Luteolin 7-O-glucopyranoside::Luteolin 7-O-glucoside::Luteolin 7-glucoside::Luteolin 7-monoglucoside::Luteolin-7-glucoside::Luteoloside::cid_5280637::luteolin 7-O-beta-D-glucoside",Serine/threonine-protein kinase 33,Homo sapiens,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,1.0
28,"2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl beta-D-glucopyranoside::7-(beta-D-glucopyranosyloxy)-5-hydroxy-2-(3,4-dihydroxyphenyl)-4H-chromen-4-one::7-Glucoluteolin::7-Glucosylluteolin::CHEMBL233929::Cinaroside::Cynaroside::Luteolin 7-O-&#946;-D-glucoside (13)::Luteolin 7-O-glucopyranoside::Luteolin 7-O-glucoside::Luteolin 7-glucoside::Luteolin 7-monoglucoside::Luteolin-7-glucoside::Luteoloside::cid_5280637::luteolin 7-O-beta-D-glucoside",Mitogen-activated protein kinase 14,Homo sapiens,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,1.0
29,"2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl beta-D-glucopyranoside::7-(beta-D-glucopyranosyloxy)-5-hydroxy-2-(3,4-dihydroxyphenyl)-4H-chromen-4-one::7-Glucoluteolin::7-Glucosylluteolin::CHEMBL233929::Cinaroside::Cynaroside::Luteolin 7-O-&#946;-D-glucoside (13)::Luteolin 7-O-glucopyranoside::Luteolin 7-O-glucoside::Luteolin 7-glucoside::Luteolin 7-monoglucoside::Luteolin-7-glucoside::Luteoloside::cid_5280637::luteolin 7-O-beta-D-glucoside",Mitogen-activated protein kinase 10,Homo sapiens,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,1.0
30,3-(4-Hydroxyphenyl)lactate::4-Hydroxyphenyllactate::p-Hydroxyphenyllactate,Solute carrier family 22 member 20,Mus musculus,O[C@@H](C(=O)[O-])Cc1ccc(cc1)O,1.0
31,3-(4-Hydroxyphenyl)lactate::4-Hydroxyphenyllactate::p-Hydroxyphenyllactate,Solute carrier family 22 member 6,Mus musculus,O[C@@H](C(=O)[O-])Cc1ccc(cc1)O,1.0
32,3-(4-Hydroxyphenyl)lactate::4-Hydroxyphenyllactate::p-Hydroxyphenyllactate,Solute carrier family 22 member 6,Mus musculus,O[C@@H](C(=O)[O-])Cc1ccc(cc1)O,1.0
33,2-(4-butan-2-ylphenoxy)acetic acid::2-(4-butan-2-ylphenoxy)ethanoic acid::2-(4-sec-butylphenoxy)acetic acid::MLS000099555::SMR000071311::cid_2913835,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1), isoform CRA_b",Homo sapiens,CCOC(=O)[C@H](Cc1ccccc1)O,0.7407407407407407
34,1-butanol::1-butanol-d10::CHEMBL14245,Choline Acetyltransferase,Rattus,CCCO,0.875
35,CHEMBL2313415,Protein-tyrosine phosphatase 1B,Homo sapiens,CC(=CCC[C@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
36,20(S)-Protopanaxadiol::CHEMBL375563,Protein-tyrosine phosphatase 1B,Homo sapiens,CC(=CCC[C@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
37,"(3S,8R,10R,12R,14R)-17-((S)-1-Hydroxy-1,5-dimethyl-hex-4-enyl)-4,4,8,10,14-pentamethyl-hexadecahydro-cyclopenta[a]phenanthrene-3,12-diol::20(S)-Protopanaxadiol::CHEMBL280986::CHEMBL375563","Sterol O-acyltransferase, Soat",Rattus norvegicus,CC(=CCC[C@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
38,CHEMBL254592::fibraurecdyside A,Cytochrome P450 3A4,Homo sapiens,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@@](CCC=C(C)C)(O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,0.9615384615384616
39,CHEMBL4070749,Coagulation factor VII/tissue factor,Homo sapiens,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@@](CCC=C(C)C)(O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,0.9615384615384616
40,CHEMBL2313415,Protein-tyrosine phosphatase 1B,Homo sapiens,CC(=CCC[C@@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
41,20(S)-Protopanaxadiol::CHEMBL375563,Protein-tyrosine phosphatase 1B,Homo sapiens,CC(=CCC[C@@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
42,"(3S,8R,10R,12R,14R)-17-((S)-1-Hydroxy-1,5-dimethyl-hex-4-enyl)-4,4,8,10,14-pentamethyl-hexadecahydro-cyclopenta[a]phenanthrene-3,12-diol::20(S)-Protopanaxadiol::CHEMBL280986::CHEMBL375563","Sterol O-acyltransferase, Soat",Rattus norvegicus,CC(=CCC[C@@]([C@H]1CC[C@@]2([C@@H]1[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)(O)C)C,1.0
43,CHEMBL254592::fibraurecdyside A,Cytochrome P450 3A4,Homo sapiens,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@](CCC=C(C)C)(O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,0.9615384615384616
44,CHEMBL4070749,Coagulation factor VII/tissue factor,Homo sapiens,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@](CCC=C(C)C)(O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,0.9615384615384616
45,"CHEMBL122334::Hydantoin Derivative 36::imidazolidine-2,4-dione",Sigma non-opioid intracellular receptor 1,Homo sapiens,NC(=O)c1c(O)nc[nH]1,0.7948717948717948
46,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one::3,5,7-trihydroxy-2-(4-hydroxyphenyl)-chromen-4-one::CHEMBL150::Kaempferol (18)::Kaempferol (Kmp)::cid_5280863::kaempferol",Cyclin-Dependent Kinase 6 (CDK6),Homo sapiens,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,1.0
47,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one::3,5,7-trihydroxy-2-(4-hydroxyphenyl)-chromen-4-one::CHEMBL150::Kaempferol (18)::Kaempferol (Kmp)::cid_5280863::kaempferol",Alpha-amylase,Homo sapiens,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,1.0
48,"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-1-benzopyran-4-one::2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one::2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromone::2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one::2-[2,4-bis(oxidanyl)phenyl]-3,5,7-tris(oxidanyl)chromen-4-one::CHEMBL28626::MLS000069618::Morin (19)::Morin (5)::Morin (Mor)::SMR000058259::cid_5281670::morin",Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,1.0
49,"3,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one::Geraldol (13)",Aurora kinase B,Homo sapiens,COc1cc2c(cc1O)occ(c2=O)c1ccc(cc1)O,1.0
50,CHEMBL513024::glycitein,Xanthine dehydrogenase/oxidase,Homo sapiens,COc1cc2c(cc1O)occ(c2=O)c1ccc(cc1)O,1.0
51,CHEMBL513024::glycitein,Xanthine dehydrogenase/oxidase,Homo sapiens,COc1cc2c(cc1O)occ(c2=O)c1ccc(cc1)O,1.0
52,"(2S)-2-aminopropanoic acid::(S)-2-aminopropanoic acid::(S)-alanine::Ala::CHEMBL279597::L-Alanin::L-alanine::L-alpha-alanine::US11021454, Compound L-ala",Xanthine dehydrogenase,Homo sapiens,C[C@H]([C@@H](C(=O)O)N)O,0.7894736842105263
53,(2R)-2-aminopropanoic acid::(R)-2-aminopropanoic acid::(R)-alanine::CHEMBL66693::D-Alanin::D-alanine::D-alpha-alanine::D-alpha-aminopropionic acid,Proton-coupled amino acid transporter 1,Homo sapiens,C[C@H]([C@@H](C(=O)O)N)O,0.7894736842105263
54,"(2S)-2-aminopropanoic acid::(S)-2-aminopropanoic acid::(S)-alanine::Ala::CHEMBL279597::L-Alanin::L-alanine::L-alpha-alanine::US11021454, Compound L-ala",Proton-coupled amino acid transporter 1,Homo sapiens,C[C@H]([C@@H](C(=O)O)N)O,0.7894736842105263
55,(2S)-2-aminopentanedioic acid::(S)-Glu::D-Glutamate::Glutamate::L-Glu::L-Glutamate::L-Glutamic acid::L-[14C(U)]glutamate::L-gluatmate,Glutamate Carboxypeptidase II (GCPII),Homo sapiens,OC(=O)CC[C@@H](C(=O)O)N,1.0
56,(2S)-2-aminopentanedioic acid::(S)-Glu::D-Glutamate::Glutamate::L-Glu::L-Glutamate::L-Glutamic acid::L-[14C(U)]glutamate::L-gluatmate,Metabotropic glutamate receptor 3,Homo sapiens,OC(=O)CC[C@@H](C(=O)O)N,1.0
57,(2S)-2-aminopentanedioic acid::(S)-Glu::D-Glutamate::Glutamate::L-Glu::L-Glutamate::L-Glutamic acid::L-[14C(U)]glutamate::L-gluatmate,Metabotropic glutamate receptor 5,Homo sapiens,OC(=O)CC[C@@H](C(=O)O)N,1.0
58,"(2S)-2-amino-3-phenylpropanoic acid::CHEMBL301523::L-[2,3,4,5,6-3H]phenylalanine::L-phenylalanine::Phenylalanine::US11021454, Compound L-phe",Xanthine dehydrogenase,Homo sapiens,N[C@H](C(=O)O)Cc1ccccc1,1.0
59,"(2S)-2-amino-3-phenylpropanoic acid::CHEMBL301523::L-[2,3,4,5,6-3H]phenylalanine::L-phenylalanine::Phenylalanine::US11021454, Compound L-phe",Phospholipase A-2-activating protein,Homo sapiens,N[C@H](C(=O)O)Cc1ccccc1,1.0
60,"(2S)-2-amino-3-phenylpropanoic acid::CHEMBL301523::L-[2,3,4,5,6-3H]phenylalanine::L-phenylalanine::Phenylalanine::US11021454, Compound L-phe","Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens,N[C@H](C(=O)O)Cc1ccccc1,1.0
61,"(4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid::CDCA::CHENODIOL::Chenodeoxycholic Acid::US10208081, CDCA",G-protein coupled bile acid receptor 1,Homo sapiens,O[C@@H]1CC[C@]2([C@@H](C1)C[C@@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)O)C,1.0
62,"(2S,4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]-2-methylpentanoic acid::23(S)-methyl-BA derivative, 7a",G-protein coupled bile acid receptor 1,Homo sapiens,O[C@@H]1CC[C@]2([C@@H](C1)C[C@@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)O)C,1.0
63,"(2R,4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]-2-methylpentanoic acid::23(R)-methyl-BA derivative, 8a",G-protein coupled bile acid receptor 1,Homo sapiens,O[C@@H]1CC[C@]2([C@@H](C1)C[C@@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)O)C,1.0
64,ARCTIGENIN,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,COc1cc(ccc1OC)C[C@H]1COC(=O)[C@@H]1Cc1ccc(c(c1)OC)O,1.0
65,CHEMBL4547078,Protein-tyrosine phosphatase 1B,Homo sapiens,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@@H]([C@@H]2C)O)O,0.775
66,CHEMBL4547078,Protein-tyrosine phosphatase 1B,Homo sapiens,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@@H]([C@@H]2C)O)O,0.775
67,CHEMBL4075531,"Glutaminase kidney isoform, mitochondrial",Homo sapiens,OC[C@H]1O[C@@H](O[C@H]2C[C@]3(C)[C@@H]([C@@]4([C@@H]2C(C)(C)[C@@H](O)CC4)C)C[C@H]([C@H]2[C@@]3(C)CC[C@@H]2[C@@](O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,0.9622641509433962
68,CHEMBL71115,Prostaglandin E synthase,Homo sapiens,Oc1ccc2c(c1)oc(=O)c1c2ccc(c1)O,0.96
69,"5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one::Myricitrin (7)",Aurora kinase B,Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,1.0
70,CHEBI:17558::QUERCITRIN::Quercitrin,Protein-tyrosine phosphatase 1B,Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,1.0
71,QUERCETIN-3-O-RHAMNOSIDE,Carbonic anhydrase 1,Homo sapiens,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,1.0
72,"US8841312, 185",Cyclin-dependent kinase 4,Homo sapiens,OC1CC[n+]2c(N1)n(C)c1c2ncc(c1)c1ccccc1.[Cl-],0.7681159420289855
73,"US8841312, 185",Cyclin-dependent kinase 6,Homo sapiens,OC1CC[n+]2c(N1)n(C)c1c2ncc(c1)c1ccccc1.[Cl-],0.7681159420289855
74,CHEMBL2036725,Aurora kinase B,Homo sapiens,Cn1c(N)nc2c1cc(cn2)c1ccccc1,0.972972972972973
75,CHEMBL2036725,Focal adhesion kinase 1,Homo sapiens,Cn1c(N)nc2c1cc(cn2)c1ccccc1,0.972972972972973
76,CHEMBL2036725,Vascular endothelial growth factor receptor 2,Homo sapiens,Cn1c(N)nc2c1cc(cn2)c1ccccc1,0.972972972972973
77,"3-HYDROXYTYRAMINE HYDROCHLORIDE::4-(2-aminoethyl)benzene-1,2-diol;hydrochloride::4-(2-aminoethyl)pyrocatechol;hydrochloride::4-(2-azanylethyl)benzene-1,2-diol;hydrochloride::DOPAMINE::Dopamine::MLS000069419::SMR000059081::cid_65340",Procathepsin L,Homo sapiens,NCCc1ccc(c(c1)O)O,1.0
78,"3-HYDROXYTYRAMINE HYDROCHLORIDE::4-(2-aminoethyl)benzene-1,2-diol;hydrochloride::4-(2-aminoethyl)pyrocatechol;hydrochloride::4-(2-azanylethyl)benzene-1,2-diol;hydrochloride::DOPAMINE::Dopamine::MLS000069419::SMR000059081::cid_65340",Beta-2 adrenergic receptor,Homo sapiens,NCCc1ccc(c(c1)O)O,1.0
79,"3-HYDROXYTYRAMINE HYDROCHLORIDE::4-(2-aminoethyl)benzene-1,2-diol;hydrochloride::4-(2-aminoethyl)pyrocatechol;hydrochloride::4-(2-azanylethyl)benzene-1,2-diol;hydrochloride::DOPAMINE::Dopamine::MLS000069419::SMR000059081::cid_65340",D(2) dopamine receptor,Homo sapiens,NCCc1ccc(c(c1)O)O,1.0
80,CHEMBL2062137::L-754394,Cytochrome P450 3A4,Homo sapiens,O[C@@H](C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1)CN1CCN(C[C@H]1C(=O)NC(C)(C)C)Cc1cnc2c(c1)cco2,1.0
81,2-(3-benzoylphenyl)acetic acid::CHEMBL561718,Interleukin-8,Homo sapiens,OC(Cc1ccccc1)Cc1ccccc1,0.7058823529411765
